gender,age,time
M,(19- 22),14:34:54
M,(19- 22),14:34:58
M,(23-29),14:35:01
M,(19- 22),14:35:05
M,(19- 22),14:35:08
M,(19- 22),14:35:11
M,(13-18),14:35:15
M,(23-29),14:35:18
M,(19- 22),14:35:21
M,(30-34),14:35:25
M,(30-34),14:35:28
M,(30-34),14:40:04
M,(13-18),14:40:08
M,(13-18),14:40:11
M,(13-18),14:40:14
M,(13-18),14:40:17
M,(13-18),14:40:21
M,(13-18),14:40:24
M,(30-34),14:40:27
M,(23-29),14:40:31
M,(23-29),14:40:37
M,(23-29),14:40:40
M,(23-29),14:40:44
M,(19- 22),14:40:47
M,(30-34),14:40:54
M,(13-18),14:41:00
M,(30-34),14:41:15
M,(13-18),14:41:22
F,(23-29),14:41:34
M,(23-29),14:41:38
M,(23-29),14:41:50
M,(23-29),14:41:54
M,(23-29),14:41:57
M,(23-29),14:42:00
M,(23-29),14:42:04
M,(23-29),14:42:07
M,(19- 22),14:42:10
M,(30-34),14:42:20
M,(40-44),14:42:23
M,(35-39),14:42:27
M,(35-39),14:42:30
M,(30-34),14:42:36
M,(30-34),14:42:40
F,(>60),14:42:52
M,(>60),14:42:55
M,(13-18),14:43:02
M,(>60),14:43:08
M,(>60),14:43:12
M,(>60),14:43:24
M,(>60),14:43:27
M,(>60),14:43:31
F,(>60),14:43:43
F,(>60),14:43:47
F,(51-59),14:43:53
F,(35-39),14:43:56
M,(35-39),14:44:00
M,(13-18),14:44:15
F,(>60),14:44:16
M,(>60),14:44:19
F,(35-39),14:44:53
F,(30-34),14:44:56
F,(30-34),14:44:59
M,(19- 22),14:45:06
M,(19- 22),14:45:09
M,(13-18),14:45:12
M,(13-18),14:45:16
M,(35-39),14:45:50
M,(35-39),14:45:53
F,(23-29),14:45:53
M,(35-39),14:45:57
M,(30-34),14:46:00
M,(30-34),14:46:04
F,(35-39),14:46:04
M,(35-39),14:46:08
F,(23-29),14:46:08
M,(19- 22),14:46:11
M,(19- 22),14:46:14
M,(13-18),14:46:18
M,(19- 22),14:46:21
M,(13-18),14:46:24
M,(13-18),14:46:28
M,(13-18),14:46:31
M,(13-18),14:46:34
M,(19- 22),14:46:38
M,(13-18),14:46:41
M,(13-18),14:46:44
M,(23-29),14:46:51
F,(35-39),14:46:51
M,(30-34),14:46:54
F,(35-39),14:46:54
M,(30-34),14:47:01
F,(30-34),14:47:01
M,(30-34),14:47:05
F,(30-34),14:47:05
M,(35-39),14:47:11
M,(13-18),14:47:22
M,(13-18),14:47:37
M,(13-18),14:47:46
M,(13-18),14:47:50
M,(13-18),14:47:53
M,(19- 22),14:47:56
M,(19- 22),14:48:00
M,(13-18),14:48:03
M,(13-18),14:48:06
M,(23-29),14:48:09
M,(13-18),14:48:16
M,(30-34),14:48:19
M,(13-18),14:48:22
M,(13-18),14:48:26
M,(23-29),14:48:35
M,(35-39),14:48:39
M,(19- 22),14:48:45
M,(13-18),14:48:48
M,(23-29),14:48:52
M,(23-29),14:48:55
M,(30-34),14:48:58
M,(30-34),14:49:02
M,(30-34),14:49:05
M,(30-34),14:49:08
M,(23-29),14:49:12
M,(23-29),14:49:15
M,(30-34),14:49:18
M,(23-29),14:49:22
M,(19- 22),14:49:25
M,(13-18),14:49:28
M,(23-29),14:49:32
M,(19- 22),14:49:35
M,(30-34),14:49:35
M,(23-29),14:49:39
M,(23-29),14:49:42
M,(23-29),14:49:42
M,(30-34),14:49:45
M,(23-29),14:49:46
M,(23-29),14:49:49
M,(30-34),14:49:52
M,(30-34),14:49:56
M,(30-34),14:49:59
M,(35-39),14:50:02
M,(23-29),14:50:05
M,(30-34),14:50:12
M,(30-34),14:50:15
M,(30-34),15:00:07
M,(13-18),15:00:10
M,(13-18),15:00:14
M,(13-18),15:00:17
M,(23-29),15:00:20
M,(19- 22),15:00:27
M,(19- 22),15:00:30
M,(13-18),15:00:49
M,(35-39),15:00:52
M,(40-44),15:00:56
M,(40-44),15:00:59
M,(>60),15:01:02
M,(>60),15:01:06
M,(23-29),15:01:09
M,(23-29),15:01:16
M,(30-34),15:01:25
M,(23-29),15:01:29
M,(23-29),15:01:32
M,(23-29),15:01:35
M,(13-18),15:01:42
M,(13-18),15:01:45
